graphNodes,density,expNo,delta,compressionRatio,executionTime,,,,,,,,,
64,80,2,0.6,1.153737,4.314403,,,,,,,,,
64,80,2,0.7,1.26633,5.907723,,,,,,,,,
64,80,2,0.8,1.398454,6.919872,,,,,,,,,
64,80,2,0.9,1.525527,7.475313,,,,,,,,,
64,80,2,1,1.665985,7.757392,,,,,,,,,
64,80,3,0.5,1.056165,2.24978,,,,,,,,,
64,80,3,0.6,1.145638,4.250083,,,,,,,,,
64,80,3,0.7,1.243349,5.715903,,,,,,,,,
64,80,3,0.8,1.371601,6.52484,,,,,,,,,
64,80,3,0.9,1.515498,7.440507,,,,,,,,,
64,80,3,1,1.611562,7.584809,,,,,,,,,
64,80,4,0.5,1.057736,2.2655,,,,,,,,,
64,80,4,0.6,1.153928,4.462331,,,,,,,,,
64,80,4,0.7,1.282344,6.127876,,,,,,,,,
64,80,4,0.8,1.3924,6.890997,,,,,,,,,
64,80,4,0.9,1.528833,7.505409,,,,,,,,,
64,80,4,1,1.647802,7.786637,,,,,,,,,
64,80,5,0.5,1.071336,2.703902,,,,,,,,,
64,80,5,0.6,1.170723,4.733329,,,,,,,,,
64,80,5,0.7,1.291942,6.282535,,,,,,,,,
64,80,5,0.8,1.425687,7.101482,,,,,,,,,
64,80,5,0.9,1.536574,7.516521,,,,,,,,,
64,80,5,1,1.69683,7.87342,,,,,,,,,
64,80,6,0.5,1.058023,2.422174,,,,,,,,,
64,80,6,0.6,1.154989,4.346243,,,,,,,,,
64,80,6,0.7,1.285039,6.115773,,,,,,,,,
64,80,6,0.8,1.398458,6.893892,,,,,,,,,
64,80,6,0.9,1.527375,7.440518,,,,,,,,,
64,80,6,1,1.631184,7.487126,,,,,,,,,
64,80,7,0.5,1.072804,2.689085,,,,,,,,,
64,80,7,0.6,1.168148,4.676343,,,,,,,,,
64,80,7,0.7,1.284095,6.148765,,,,,,,,,
64,80,7,0.8,1.405475,7.010391,,,,,,,,,
64,80,7,0.9,1.540553,7.570221,,,,,,,,,
64,80,7,1,1.667174,7.775426,,,,,,,,,
64,80,8,0.5,1.075392,2.660692,,,,,,,,,
64,80,8,0.6,1.159395,4.417376,,,,,,,,,
64,80,8,0.7,1.276637,5.998714,,,,,,,,,
64,80,8,0.8,1.414163,7.000753,,,,,,,,,
64,80,8,0.9,1.554245,7.544753,,,,,,,,,
64,80,8,1,1.687148,7.775937,,,,,,,,,
64,80,9,0.5,1.074617,2.6605,,,,,,,,,
64,80,9,0.6,1.172414,4.689868,,,,,,,,,
64,80,9,0.7,1.291814,6.158122,,,,,,,,,
64,80,9,0.8,1.419716,6.824633,,,,,,,,,
64,80,9,0.9,1.544008,7.622069,,,,,,,,,
64,80,9,1,1.678372,7.781647,,,,,,,,,
64,80,10,0.5,1.075435,2.679326,,,,,,,,,
64,80,10,0.6,1.156614,4.363426,,,,,,,,,
64,80,10,0.7,1.269454,5.949892,,,,,,,,,
64,80,10,0.8,1.399488,7.008107,,,,,,,,,
64,80,10,0.9,1.547428,7.491263,,,,,,,,,
64,80,10,1,1.674668,7.7721,,,,,,,,,
64,85,1,0.5,1.092697,3.281576,,,,,,,,,
64,85,1,0.6,1.197742,5.259597,,,,,,,,,
64,85,1,0.7,1.333714,6.664553,,,,,,,,,
64,85,1,0.8,1.442522,7.295305,,,,,,,,,
64,85,1,0.9,1.61709,8.040533,,,,,,,,,
64,85,1,1,1.742658,8.166901,,,,,,,,,
64,85,2,0.5,1.092288,3.190836,,,,,,,,,
64,85,2,0.6,1.196676,5.157194,,,,,,,,,
64,85,2,0.7,1.31058,6.340023,,,,,,,,,
64,85,2,0.8,1.459459,7.364605,,,,,,,,,
64,85,2,0.9,1.602968,7.910781,,,,,,,,,
64,85,2,1,1.748988,8.139089,,,,,,,,,
64,85,3,0.5,1.097362,4.860408,,,,,,,,,
64,85,3,0.6,1.203583,5.273282,,,,,,,,,
64,85,3,0.7,1.317993,6.397943,,,,,,,,,
64,85,3,0.8,1.44799,7.284054,,,,,,,,,
64,85,3,0.9,1.609397,7.938962,,,,,,,,,
64,85,3,1,1.763756,8.222164,,,,,,,,,
64,85,4,0.5,1.091168,3.175887,,,,,,,,,
64,85,4,0.6,1.181289,4.895884,,,,,,,,,
64,85,4,0.7,1.310148,6.330385,,,,,,,,,
64,85,4,0.8,1.436849,7.246093,,,,,,,,,
